tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
161681;7;1;1;HD;1;50029941;50043844;50043978;50083080;1;3;21;16;17;21;21;11;59;48;2;1;false;false;false;false;false;false;false
161681;7;2;2;HD;2;50029941;50043844;50043978;50068901;1;2;21;16;21;12;0;0;42;28;2;0;false;false;false;false;false;false;false
161681;7;3;3;HD;3;50012046;50006981;50038199;50019213;1;3;17;21;21;16;22;20;60;57;2;1;false;false;false;false;false;false;false
161681;7;4;4;HD;4;50012046;50006981;50038199;50083080;1;2;21;12;21;14;0;0;42;26;2;0;false;false;false;false;false;false;false
161681;7;5;5;HE;1;50029941;;50043978;;2;2;17;21;10;21;0;0;27;42;0;2;false;false;false;false;false;false;false
161681;7;6;6;HE;2;50043844;;50068901;;1;2;21;15;21;15;0;0;42;30;2;0;false;false;false;false;false;false;false
161681;7;7;7;HE;3;50006981;;50083080;;1;3;21;18;15;21;21;18;57;57;2;1;false;false;false;false;false;false;false
161681;7;8;8;HE;4;50012046;;50019213;;1;2;21;14;21;14;0;0;42;28;2;0;false;false;false;false;false;false;true
161681;8;1;9;HD;1;50066907;50103721;50043978;50083080;2;3;19;21;21;14;11;21;51;56;1;2;false;false;false;false;false;false;false
161681;8;2;10;HD;2;50066907;50103721;50043978;50019213;2;3;14;21;21;14;13;21;48;56;1;2;false;false;false;false;false;false;false
161681;8;3;11;HD;3;50069485;50057680;50038199;50068901;1;3;21;19;19;21;21;19;61;59;2;1;false;false;false;false;false;false;false
161681;8;4;12;HD;4;50069485;50057680;50038199;50083080;2;2;13;21;14;21;0;0;27;42;0;2;false;false;false;false;false;false;false
161681;8;5;13;HE;1;50103721;;50043978;;1;2;21;15;21;13;0;0;42;28;2;0;false;false;false;false;false;false;false
161681;8;6;14;HE;2;50066907;;50019213;;1;2;21;19;21;7;0;0;42;26;2;0;false;false;false;false;false;false;false
161681;8;7;15;HE;3;50069485;;50068901;;1;2;21;15;22;20;0;0;43;35;2;0;false;false;false;false;false;false;false
161681;8;8;16;HE;4;50057680;;50083080;;1;3;21;18;12;21;21;18;54;57;2;1;false;false;false;false;false;false;false
161681;9;1;17;HD;1;50073642;50092933;50043978;50068901;2;3;14;21;21;18;18;21;53;60;1;2;false;false;false;false;false;false;false
161681;9;2;18;HD;2;50073642;50072364;50043978;50053775;1;3;21;17;17;21;24;22;62;60;2;1;false;false;false;false;false;false;false
161681;9;3;19;HD;3;50092933;50037774;50019213;50068901;1;3;21;14;16;21;21;16;58;51;2;1;false;false;false;false;false;false;false
161681;9;4;20;HD;4;50072364;50037774;50019213;50061644;1;3;21;19;22;24;21;19;64;62;2;1;false;false;false;false;false;false;false
161681;9;5;21;HE;1;50073642;;50043978;;2;2;13;21;15;21;0;0;28;42;0;2;false;false;false;false;false;false;false
