tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
161420;8;1;1;HD;1;50093094;50111719;50082633;50064697;2;3;15;21;21;16;16;21;52;58;1;2;false;false;false;false;false;false;false
161420;8;2;2;HD;2;50093094;50111719;50099063;50114290;1;2;21;9;21;18;0;0;42;27;2;0;false;false;false;false;false;false;false
161420;8;3;3;HD;3;50093796;50090247;50082633;50064697;2;2;16;21;17;21;0;0;33;42;0;2;false;false;false;false;false;false;false
161420;8;4;4;HD;4;50090247;50086851;50100997;50099063;1;2;21;11;21;10;0;0;42;21;2;0;false;false;false;false;false;false;false
161420;8;5;5;HE;1;50093094;;50082633;;1;2;21;11;21;9;0;0;42;20;2;0;false;false;false;false;false;false;false
161420;8;6;6;HE;2;50111719;;50064697;;1;3;16;21;21;13;21;15;58;49;2;1;false;false;false;false;false;false;false
161420;8;7;7;HE;3;50090247;;50100997;;1;2;21;17;21;14;0;0;42;31;2;0;false;false;false;false;false;false;false
161420;8;8;8;HE;4;50086851;;50114290;;1;2;21;10;21;12;0;0;42;22;2;0;false;false;false;false;false;false;false
161420;9;1;9;HD;1;50090860;50455079;50033165;50090477;1;3;14;21;21;16;21;19;56;56;2;1;false;false;false;false;false;false;false
161420;9;2;10;HD;2;50041393;50046002;50033165;50090477;2;3;18;21;21;8;19;21;58;50;1;2;false;false;false;false;false;false;false
161420;9;3;11;HD;3;50090860;50077141;50082633;50114290;2;2;23;25;14;21;0;0;37;46;0;2;false;false;false;false;false;false;false
161420;9;4;12;HD;4;50041393;50077141;50082633;50114290;2;3;11;21;21;13;14;21;46;55;1;2;false;false;false;false;false;false;false
161420;9;5;13;HE;1;50041393;;50082633;;2;3;25;23;17;21;21;23;63;67;1;2;false;false;false;false;false;false;false
161420;9;6;14;HE;2;50455079;;50090477;;1;2;21;10;25;23;0;0;46;33;2;0;false;false;false;false;false;false;false
161420;9;7;15;HE;3;50090860;;50114290;;1;3;17;21;21;11;21;15;59;47;2;1;false;false;false;false;false;false;false
161420;9;8;16;HE;4;50046002;;50033165;;1;2;21;19;21;18;0;0;42;37;2;0;false;false;false;false;false;false;false
161420;10;1;17;HD;1;50078085;50066243;50064697;50114290;1;2;22;20;21;11;0;0;43;31;2;0;false;false;false;false;false;false;false
161420;10;2;18;HD;2;50078085;50066243;50064697;50099063;1;2;21;10;21;17;0;0;42;27;2;0;false;false;false;false;false;false;false
161420;10;3;19;HD;3;50066952;50109582;50032868;50099063;1;2;21;5;21;12;0;0;42;17;2;0;false;false;false;false;false;false;false
161420;10;4;20;HD;4;50090259;50066952;50032868;50114290;1;2;21;13;21;9;0;0;42;22;2;0;false;false;false;false;false;false;false
161420;10;5;21;HE;1;50090259;;50064697;;2;2;14;21;10;21;0;0;24;42;0;2;false;false;false;false;false;false;false
161420;10;6;22;HE;2;50066243;;50099063;;1;2;21;10;21;15;0;0;42;25;2;0;false;false;false;false;false;false;false
161420;10;7;23;HE;3;50109582;;50114290;;2;3;21;14;13;21;14;21;48;56;1;2;false;false;false;false;false;false;false
161420;10;8;24;HE;4;50066952;;50032868;;1;2;21;17;21;10;0;0;42;27;2;0;false;false;false;false;false;false;false
