tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
178603;624;2;Dames competitie;8;;3de prov D;15;;3de prov;;Smasj 1D;;Sportif 3D;1;3-1-2017 19:30:00;3-1-2017 19:30:00;;;1;0;1;0;12;6;350;269;False;5-1-2017 23:44:05;Bruno De Baenst;6-1-2017 00:05:22;Bruno De Baenst;6-1-2017 14:35:51;bc sportif vzw;false;false;false;false;false;false;false
178603;575;2;Dames competitie;7;;2de prov D;14;;2de prov B;;DZ99 4D;;LEBAD Kortrijk 3D;3;5-1-2017 20:00:00;7-1-2017 09:00:00;;;0;0;0;0;10;9;335;346;False;;;7-1-2017 09:05:33;DZ 99;7-1-2017 11:05:38;Lebad Kortrijk;false;false;false;false;false;false;false
178603;485;2;Dames competitie;6;;1ste prov D;12;;1ste prov;;Torhout 1D;;De Valkaart 1D;1;6-1-2017 20:30:00;6-1-2017 20:30:00;;Barloke - Sporthal De Barloke;1;0;1;0;11;9;384;363;False;;;7-1-2017 01:05:03;Albert Bossuyt Torhout;;;false;false;false;false;false;false;false
178603;32;1;Heren competitie;2;;2de prov H;1;;2de prov A;;Brugse 2H;;Westhoek 1H;2;6-1-2017 20:30:00;6-1-2017 20:30:00;;Sint lodewijkscollege;0;2;0;1;0;16;208;340;False;;;8-1-2017 10:59:05;Robin Dumon;9-1-2017 15:45:41;Westhoek Badminton;false;false;false;false;false;false;false
178603;68;1;Heren competitie;2;;2de prov H;2;;2de prov B;;Brugse 1H;;Zuid West 2H;2;6-1-2017 20:30:00;6-1-2017 20:30:00;;Sint lodewijkscollege;0;2;0;1;6;15;343;414;False;;;7-1-2017 02:38:54;WVBF;24-1-2017 23:55:04;club Zuid West;false;false;false;false;false;false;false
178603;580;2;Dames competitie;7;;2de prov D;14;;2de prov B;;Brugse 1D;;Sportif 2D;2;6-1-2017 20:30:00;6-1-2017 20:30:00;;;0;2;0;1;6;10;282;305;False;;;7-1-2017 16:19:50;Robin Dumon;23-2-2017 12:29:31;WVBF;false;false;false;false;false;false;false
178603;605;2;Dames competitie;8;;3de prov D;15;;3de prov;;Torhout 2D;;IZBA 2D;2;6-1-2017 20:30:00;17-3-2017 20:30:00;;;0;2;0;1;6;11;310;334;False;;;7-1-2017 01:44:58;Albert Bossuyt Torhout;8-1-2017 21:09:52;club IZBA;false;false;false;false;false;false;false
178603;396;1;Heren competitie;5;;5de prov H;10;;5de prov A;;Brugse 4H;;Torhout 3H;2;6-1-2017 20:30:00;6-1-2017 20:30:00;;;0;2;0;1;3;15;297;357;False;;;7-1-2017 02:49:28;WVBF;8-1-2017 20:37:22;WVBF;false;false;false;false;false;false;false
178603;489;2;Dames competitie;6;;1ste prov D;12;;1ste prov;;DZ99 3D;;Ombesa 1D;2;7-1-2017 09:15:00;7-1-2017 19:00:00;;Ombesa - Tempelhof;0;2;0;1;8;10;315;345;True;;;8-1-2017 20:27:15;bc Ombesa;8-1-2017 21:44:15;DZ 99;false;false;false;false;false;false;false
178603;188;1;Heren competitie;1;;1ste prov H;5;;1ste prov;;Barloke 1H;;OBTC 1H;1;7-1-2017 20:00:00;7-1-2017 20:00:00;;Barloke - Sporthal De Barloke;2;0;1;0;13;5;337;277;False;;;8-1-2017 00:04:09;BC Barloke;12-2-2017 14:37:03;WVBF;false;false;false;false;false;false;false
