tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
178603;7;1;1;HD;1;50047158;50062068;50000773;50103687;1;2;21;13;21;19;0;0;42;32;2;0;false;false;false;false;false;false;false
178603;7;2;2;HD;2;50065590;50087077;50103687;50074282;1;2;21;16;21;12;0;0;42;28;2;0;false;false;false;false;false;false;false
178603;7;3;3;HD;3;50062068;50083835;50000773;50074282;1;2;21;13;21;15;0;0;42;28;2;0;false;false;false;false;false;false;false
178603;7;4;4;HD;4;50065590;50083835;50015568;50101085;1;3;21;9;24;26;21;12;66;47;2;1;false;false;false;false;false;false;false
178603;7;5;5;HE;1;50047158;;50000773;;2;2;17;21;19;21;0;0;36;42;0;2;false;false;false;false;false;false;false
178603;7;6;6;HE;2;50087077;;50103687;;1;3;19;21;23;21;21;14;63;56;2;1;false;false;false;false;false;false;false
178603;7;7;7;HE;3;50065590;;50101085;;1;2;21;19;21;9;0;0;42;28;2;0;false;false;false;false;false;false;false
178603;7;8;8;HE;4;50083835;;50015568;;2;3;21;6;17;21;19;21;57;48;1;2;false;false;false;false;false;false;false
178603;8;1;9;HD;1;50102442;50070734;50000773;50103687;1;2;26;24;21;15;0;0;47;39;2;0;false;false;false;false;false;false;false
178603;8;2;10;HD;2;50102442;50071857;50103687;50015568;1;2;21;15;21;12;0;0;42;27;2;0;false;false;false;false;false;false;false
178603;8;3;11;HD;3;50094926;50112179;50000773;50101085;1;2;21;16;21;9;0;0;42;25;2;0;false;false;false;false;false;false;false
178603;8;4;12;HD;4;50094926;50071857;50101085;50015568;1;2;21;14;21;9;0;0;42;23;2;0;false;false;false;false;false;false;false
178603;8;5;13;HE;1;50102442;;50000773;;2;3;16;21;21;13;19;21;56;55;1;2;false;false;false;false;false;false;false
178603;8;6;14;HE;2;50071857;;50103687;;1;2;21;15;21;16;0;0;42;31;2;0;false;false;false;false;false;false;false
178603;8;7;15;HE;3;50094926;;50101085;;1;2;21;12;21;9;0;0;42;21;2;0;false;false;false;false;false;false;false
178603;8;8;16;HE;4;50112179;;50015568;;1;2;21;3;21;15;0;0;42;18;2;0;false;false;false;false;false;false;false
178603;9;1;17;HD;1;50040824;50012364;50103687;50101085;1;2;21;10;21;7;0;0;42;17;2;0;false;false;false;false;false;false;false
178603;9;2;18;HD;2;50040824;50035925;50103687;50015568;1;3;21;16;9;21;21;15;51;52;2;1;false;false;false;false;false;false;false
178603;9;3;19;HD;3;50012364;50090181;50074282;50040916;2;3;18;21;21;15;17;21;56;57;1;2;false;false;false;false;false;false;false
178603;9;4;20;HD;4;50087206;50035925;50015568;50040916;1;2;21;15;21;15;0;0;42;30;2;0;false;false;false;false;false;false;false
178603;9;5;21;HE;1;50087206;;50000773;;2;2;13;21;12;21;0;0;25;42;0;2;false;false;false;false;false;false;false
178603;9;6;22;HE;2;50040824;;50103687;;2;3;10;21;21;17;16;21;47;59;1;2;false;false;false;false;false;false;false
178603;9;7;23;HE;3;50012364;;50074282;;2;2;19;21;21;23;0;0;40;44;0;2;false;false;false;false;false;false;false
178603;9;8;24;HE;4;50090181;;50101085;;2;3;21;17;11;21;13;21;45;59;1;2;false;false;false;false;false;false;false
178603;10;1;25;HD;1;50087266;50009494;50000773;50040916;2;2;10;21;17;21;0;0;27;42;0;2;false;false;false;false;false;false;false
178603;10;2;26;HD;2;50087266;50009494;50018186;50015568;2;2;16;21;15;21;0;0;31;42;0;2;false;false;false;false;false;false;false
178603;10;3;27;HD;3;50093950;50103378;50000773;50040916;1;3;12;21;21;19;21;17;54;57;2;1;false;false;false;false;false;false;false
178603;10;4;28;HD;4;50052866;50067811;50018186;50015568;2;2;14;21;16;21;0;0;30;42;0;2;false;false;false;false;false;false;false
178603;10;5;29;HE;1;50087266;;50000773;;2;2;5;21;17;21;0;0;22;42;0;2;false;false;false;false;false;false;false
178603;10;6;30;HE;2;50067811;;50018186;;2;2;7;21;6;21;0;0;13;42;0;2;false;false;false;false;false;false;false
178603;10;7;31;HE;3;50103378;;50040916;;1;2;21;11;21;11;0;0;42;22;2;0;false;false;false;false;false;false;false
178603;10;8;32;HE;4;50093950;;50015568;;1;2;21;10;21;15;0;0;42;25;2;0;false;false;false;false;false;false;false
178603;11;1;33;HD;1;50044845;50054298;50000773;50103687;1;3;16;21;21;11;21;14;58;46;2;1;false;false;false;false;false;false;false
