tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
161323;45;1;gemengd;1;;1ste prov;1;;1ste prov;;Westhoek 1G;;IZBA 1G;2;31-8-2016 19:30:00;4-9-2016 14:30:00;;;0;2;0;1;6;10;260;300;True;;;1-9-2016 19:33:28;club IZBA;15-9-2016 20:15:48;Westhoek Badminton;false;false;false;false;false;false;false
161323;94;1;gemengd;2;;2de prov;2;;2de prov A;;Gullegem 1G;;Waregem 2G;2;2-9-2016 20:30:00;2-9-2016 20:30:00;;;0;2;0;1;9;11;337;379;False;5-9-2016 19:27:56;BC Gullegem;6-9-2016 19:50:15;WVBF;6-9-2016 19:58:48;WVBF;false;false;false;false;false;false;false
161323;138;1;gemengd;2;;2de prov;3;;2de prov B;;Brugse 1G;;Tielt 2G;1;2-9-2016 20:30:00;2-9-2016 20:30:00;;;2;0;1;0;16;1;357;223;False;;;3-9-2016 02:09:43;WVBF;4-9-2016 18:27:58;BC Tielt;false;false;false;false;false;false;false
161323;187;1;gemengd;3;;3de prov;4;;3de prov A;;Brugse 2G;;Gitse 2G;2;2-9-2016 20:30:00;2-9-2016 20:30:00;;;0;2;0;1;8;10;307;324;False;;;3-9-2016 10:28:16;Robin Dumon;7-9-2016 19:10:31;Jonas Maes Gitse;false;false;false;false;false;false;false
161323;354;1;gemengd;4;;4de prov;7;;4de prov B;;Gullegem 2G;;LEBAD Kortrijk 5G;1;2-9-2016 20:30:00;2-9-2016 20:30:00;;;2;0;1;0;12;5;332;271;False;;;4-9-2016 00:02:59;BC Gullegem;;;false;false;false;false;false;false;false
161323;388;1;gemengd;4;;4de prov;8;;4de prov C;;Brugse 4G;;SPORTIF 3G;2;2-9-2016 20:30:00;9-9-2016 20:30:00;;;0;2;0;1;0;16;185;336;False;;;3-9-2016 02:20:49;WVBF;4-9-2016 21:00:00;bc sportif vzw;false;false;false;false;false;false;false
161323;427;1;gemengd;5;;5de prov;9;;5de prov A;;Torhout 4G;;LEBAD Kortrijk 7G;3;2-9-2016 20:30:00;2-9-2016 20:30:00;;;1;1;0;0;9;10;333;361;False;;;3-9-2016 09:25:29;Albert Bossuyt Torhout;4-9-2016 21:53:03;Lebad Kortrijk;false;false;false;false;false;false;false
161323;443;1;gemengd;5;;5de prov;10;;5de prov B;;Bavikhoofse 1G;;Westhoek 4G;2;3-9-2016 14:00:00;12-11-2016 14:00:00;;;0;2;0;1;9;12;376;399;False;7-9-2016 13:42:07;Badminton Bavikhoofse;7-9-2016 23:15:56;WVBF;8-9-2016 19:20:33;Westhoek Badminton;false;false;false;false;false;false;false
161323;133;1;gemengd;2;;2de prov;3;;2de prov B;;DZ99 4G;;Ombesa 1G;3;3-9-2016 16:30:00;3-9-2016 19:00:00;;;1;1;0;0;9;9;342;321;False;;;4-9-2016 11:21:16;DZ 99;4-12-2016 09:57:23;bc Ombesa;false;false;false;false;false;false;false
161323;398;1;gemengd;4;;4de prov;8;;4de prov C;;DZ99 5G;;Brugse 4G;1;3-9-2016 16:30:00;3-9-2016 19:00:00;;;2;0;1;0;16;1;352;213;False;4-9-2016 11:05:01;DZ 99;4-9-2016 11:13:40;DZ 99;4-9-2016 16:10:27;WVBF;false;false;false;false;false;false;false
