tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
161323;8;1;1;HD;0;50054298;50044845;50070388;50070393;1;2;21;19;21;16;0;0;42;35;2;0;false;false;false;false;false;false;false
161323;8;2;2;DD;0;50020471;50023081;50742825;50070389;1;2;21;15;21;17;0;0;42;32;2;0;false;false;false;false;false;false;false
161323;8;3;3;GD;1;50054298;50023081;50083381;50742825;1;2;21;17;21;9;0;0;42;26;2;0;false;false;false;false;false;false;false
161323;8;4;4;GD;2;50044845;50020471;50070393;50070389;1;3;17;21;21;10;21;13;59;44;2;1;false;false;false;false;false;false;false
161323;8;5;5;HE;1;50054298;;50070388;;2;3;21;17;14;21;16;21;51;59;1;2;false;false;false;false;false;false;false
161323;8;6;6;HE;2;50044845;;50083381;;1;3;21;18;14;21;21;11;56;50;2;1;false;false;false;false;false;false;false
161323;8;7;7;DE;1;50062844;;50742825;;1;2;21;19;21;16;0;0;42;35;2;0;false;false;false;false;false;false;false
161323;8;8;8;DE;2;50023081;;50070389;;1;2;21;14;21;14;0;0;42;28;2;0;false;false;false;false;false;false;false
161323;9;1;9;HD;0;50085115;50071044;50083381;50070393;1;3;21;19;19;21;21;18;61;58;2;1;false;false;false;false;false;false;false
161323;9;2;10;DD;0;50081826;50080282;50742825;50070389;1;2;21;5;21;9;0;0;42;14;2;0;false;false;false;false;false;false;false
161323;9;3;11;GD;1;50080282;50085115;50742825;50092805;1;2;21;13;21;16;0;0;42;29;2;0;false;false;false;false;false;false;false
161323;9;4;12;GD;2;50081826;50072775;50083381;50083380;1;2;21;19;21;12;0;0;42;31;2;0;false;false;false;false;false;false;false
161323;9;5;13;HE;1;50072775;;50070393;;1;2;21;8;21;13;0;0;42;21;2;0;false;false;false;false;false;false;false
161323;9;6;14;HE;2;50071044;;50092805;;2;3;20;22;21;16;15;21;56;59;1;2;false;false;false;false;false;false;false
161323;9;7;15;DE;1;50081826;;50083380;;1;2;21;8;21;3;0;0;42;11;2;0;false;false;false;false;false;false;false
161323;9;8;16;DE;2;50080282;;50070389;;1;2;21;9;21;8;0;0;42;17;2;0;false;false;false;false;false;false;false
