tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
161528;199;1;Gemengd;15;;4 de;6;;Prov;;Fz Forza Webacsa 5G;;Dibad 4G;2;3-9-2016 19:15:00;3-9-2016 19:15:00;;;0;2;0;1;1;16;203;354;False;5-9-2016 20:53:44;Club Webacsa;6-9-2016 21:29:20;Club Webacsa;10-9-2016 20:58:05;Bart Hanoulle;false;false;false;false;false;false;false
161528;168;1;Gemengd;14;;3 de;5;;Prov B;;Fz Forza Webacsa 4G;;Looise 4G;2;3-9-2016 19:15:00;3-9-2016 19:15:00;;;0;2;0;1;3;16;309;394;False;5-9-2016 20:57:41;Club Webacsa;7-9-2016 18:17:07;Club Webacsa;11-9-2016 00:41:39;looise BC;false;false;false;false;false;false;false
161528;64;1;Gemengd;13;;2 de;2;;Prov A;;Drive 1G;;Neerpelt 3G;3;4-9-2016 09:15:00;4-9-2016 09:15:00;;;1;1;0;0;8;10;309;310;False;5-9-2016 16:45:53;Johan Straetemans;5-9-2016 17:04:26;Johan Straetemans;18-9-2016 20:08:11;luc driesen;false;false;false;false;false;false;false
161528;592;1;Gemengd;14;;3 de;15;;Prov C;;Bilzerse 1G;;Opbad 2G;2;4-9-2016 09:15:00;4-9-2016 09:15:00;;;0;2;0;1;4;14;275;353;False;;;8-9-2016 13:31:19;jos nijssen;5-12-2016 20:18:28;OPBAD BC;false;false;false;false;false;false;false
161528;91;1;Gemengd;13;;2 de;3;;Prov B;;BC BOBAD 1G;;Dibad 3G;2;4-9-2016 10:15:00;4-9-2016 10:15:00;;;0;2;0;1;3;14;253;331;False;5-9-2016 09:38:30;Henri Achten;5-9-2016 10:01:15;Henri Achten;5-9-2016 13:08:56;Bart Hanoulle;false;false;false;false;false;false;false
161528;208;1;Gemengd;15;;4 de;6;;Prov;;BMC Peer G2;;De Bokkerijder 6G;2;4-9-2016 13:15:00;4-9-2016 13:15:00;;;0;2;0;1;8;12;336;361;False;;;5-9-2016 23:06:25;Stefan Rutten;12-9-2016 10:50:11;Ed Van den Eijnde;false;false;false;false;false;false;false
161528;136;1;Gemengd;14;;3 de;4;;Prov A;;BMC Peer G1;;De Bokkerijder 5G;1;4-9-2016 13:15:00;4-9-2016 13:15:00;;;2;0;1;0;15;2;348;206;False;;;5-9-2016 22:55:55;Stefan Rutten;20-9-2016 10:59:09;BC DE BOKKERIJDER;false;false;false;false;false;false;false
161528;24;1;Gemengd;10;;1 ste;1;;Prov;;Hebad 3G;;Smash 1G;1;4-9-2016 14:00:00;4-9-2016 14:00:00;;;2;0;1;0;12;8;373;375;False;;;5-9-2016 12:48:22;Ronny Put;;;false;false;false;false;false;false;false
161528;212;1;Gemengd;15;;4 de;6;;Prov;;Smash 4G;;Hebad 5G;3;4-9-2016 14:15:00;4-9-2016 14:15:00;;;1;1;0;0;10;9;346;335;False;;;5-9-2016 21:04:12;Jan Claes;;;false;false;false;false;false;false;false
161528;55;1;Gemengd;13;;2 de;2;;Prov A;;Smash 2G;;Dibad 2G;2;4-9-2016 14:15:00;4-9-2016 14:15:00;;;0;2;0;1;7;13;360;388;False;;;8-9-2016 00:01:38;Jan Claes;11-9-2016 20:04:56;Bart Hanoulle;false;false;false;false;false;false;false
161528;32;1;Gemengd;10;;1 ste;1;;Prov;;looise 1G;;Poona Hoeselt 2G;1;4-9-2016 15:15:00;4-9-2016 15:15:00;;;2;0;1;0;14;2;323;182;False;;;5-9-2016 15:12:15;looise BC;;;false;false;false;false;false;false;false
161528;68;1;Gemengd;13;;2 de;2;;Prov A;;Looise 2G;;Fz Forza Webacsa 2G;2;4-9-2016 15:15:00;4-9-2016 15:15:00;;;0;2;0;1;6;12;311;355;False;;;5-9-2016 15:24:16;looise BC;5-9-2016 20:40:50;Club Webacsa;false;false;false;false;false;false;false
161528;132;1;Gemengd;14;;3 de;4;;Prov A;;Fz Forza Webacsa 3G;;BC BOBAD 2G;1;4-9-2016 19:15:00;4-9-2016 19:15:00;;;2;0;1;0;13;6;384;312;False;5-9-2016 20:59:01;Club Webacsa;6-9-2016 21:40:18;Club Webacsa;23-1-2017 11:10:36;Henri Achten;false;false;false;false;false;false;false
161528;164;1;Gemengd;14;;3 de;5;;Prov B;;Dibad-Neeroeteren 5G;;Fz Forza Webacsa 4G;1;6-9-2016 20:30:00;6-9-2016 20:30:00;;;2;0;1;0;14;2;326;168;False;;;6-9-2016 20:30:48;Bart Hanoulle;7-9-2016 18:24:24;Club Webacsa;false;false;false;false;false;false;false
161528;92;1;Gemengd;13;;2 de;3;;Prov B;;t pluimke GD1;;Dibad 3G;2;6-9-2016 20:45:00;6-9-2016 20:45:00;;;0;2;0;1;0;16;0;336;False;8-9-2016 21:51:28;Jeroen Hubregsen;;;;;true;false;false;false;false;false;false
161528;84;1;Gemengd;13;;2 de;3;;Prov B;;Neerpelt 2G;;De Bokkerijder 4G;1;9-9-2016 20:45:00;9-9-2016 20:45:00;;;2;0;1;0;11;10;384;359;False;;;10-9-2016 11:20:18;luc driesen;11-9-2016 21:37:49;BC DE BOKKERIJDER;false;false;false;false;false;false;false
161528;43;1;Gemengd;13;;2 de;2;;Prov A;;Drive 1G;;Looise 2G;2;11-9-2016 09:15:00;11-9-2016 09:15:00;;;0;2;0;1;6;15;395;428;False;;;12-9-2016 07:43:31;Johan Straetemans;12-9-2016 21:11:57;Frits Vogels;false;false;false;false;false;false;false
161528;56;1;Gemengd;13;;2 de;2;;Prov A;;Neerpelt 3G;;Dibad 2G;2;11-9-2016 10:00:00;11-9-2016 10:00:00;;;0;2;0;1;0;16;179;336;False;;;11-9-2016 22:29:20;luc driesen;15-9-2016 20:05:19;Bart Hanoulle;false;false;false;false;false;false;false
