tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
161528;7;1;1;HD;0;50076771;50075296;50094491;50031637;2;3;18;21;29;27;18;21;65;69;1;2;false;false;false;false;false;false;false
161528;7;2;2;DD;0;50062887;50067241;50095084;50114664;2;2;17;21;15;21;0;0;32;42;0;2;false;false;false;false;false;false;false
161528;7;3;3;HE;1;50088919;;50089036;;2;3;21;13;15;21;10;21;46;55;1;2;false;false;false;false;false;false;false
161528;7;4;4;HE;2;50069800;;50085755;;2;2;11;21;9;21;0;0;20;42;0;2;false;false;false;false;false;false;false
161528;7;5;5;DE;1;50060086;;50095084;;1;2;21;19;21;18;0;0;42;37;2;0;false;false;false;false;false;false;false
161528;7;6;6;DE;2;50067241;;50114664;;2;2;16;21;17;21;0;0;33;42;0;2;false;false;false;false;false;false;false
161528;7;7;7;GD;1;50075296;50060086;50085755;50114664;2;2;21;23;14;21;0;0;35;44;0;2;false;false;false;false;false;false;false
161528;7;8;8;GD;2;50076771;50051219;50094491;50095084;2;2;7;21;16;21;0;0;23;42;0;2;false;false;false;false;false;false;false
161528;8;1;9;HD;0;50065268;50046972;50094491;50089036;1;2;22;20;22;20;0;0;44;40;2;0;false;false;false;false;false;false;false
161528;8;2;10;DD;0;50081502;50053930;50095084;50033380;2;3;21;15;16;21;10;21;47;57;1;2;false;false;false;false;false;false;false
161528;8;3;11;HE;1;50056926;;50089036;;2;2;9;21;7;21;0;0;16;42;0;2;false;false;false;false;false;false;false
161528;8;4;12;HE;2;50046972;;50085755;;2;2;16;21;16;21;0;0;32;42;0;2;false;false;false;false;false;false;false
161528;8;5;13;DE;1;50053930;;50033380;;1;3;16;21;21;10;21;11;58;42;2;1;false;false;false;false;false;false;false
161528;8;6;14;DE;2;50019258;;50114664;;1;2;21;13;21;19;0;0;42;32;2;0;false;false;false;false;false;false;false
161528;8;7;15;GD;1;50065268;50019258;50094491;50095084;2;3;21;14;18;21;17;21;56;56;1;2;false;false;false;false;false;false;false
161528;8;8;16;GD;2;50056926;50081502;50085755;50114664;2;3;22;20;18;21;17;21;57;62;1;2;false;false;false;false;false;false;false
161528;9;1;4305;HD;0;50090932;50076963;50094491;50031637;1;2;21;15;21;18;0;0;42;33;2;0;false;false;false;false;false;false;false
161528;9;2;4306;DD;0;50073012;50096060;50095084;50033380;2;2;14;21;26;28;0;0;40;49;0;2;false;false;false;false;false;false;false
161528;9;3;4307;HE;1;50096070;;50085755;;1;3;27;25;15;21;21;8;63;54;2;1;false;false;false;false;false;false;false
161528;9;4;4308;HE;2;50091400;;50089036;;2;2;18;21;15;21;0;0;33;42;0;2;false;false;false;false;false;false;false
161528;9;5;4309;DE;1;50073012;;50033380;;1;2;21;10;21;9;0;0;42;19;2;0;false;false;false;false;false;false;false
161528;9;6;4310;DE;2;50096060;;50114664;;2;2;15;21;14;21;0;0;29;42;0;2;false;false;false;false;false;false;false
161528;9;7;4311;GD;1;50096070;50073012;50094491;50095084;2;3;18;21;21;17;10;21;49;59;1;2;false;false;false;false;false;false;false
161528;9;8;4312;GD;2;50091400;50096060;50085755;50114664;2;2;14;21;20;22;0;0;34;43;0;2;false;false;false;false;false;false;false
161528;10;1;25;HD;0;50075398;50072760;50094491;50031637;1;2;21;16;21;15;0;0;42;31;2;0;false;false;false;false;false;false;false
161528;10;2;26;DD;0;50061163;50071220;50095084;50114664;1;3;12;21;21;16;21;13;54;50;2;1;false;false;false;false;false;false;false
161528;10;3;27;HE;1;50060750;;50085755;;1;2;21;19;21;17;0;0;42;36;2;0;false;false;false;false;false;false;false
161528;10;4;28;HE;2;50075398;;50089036;;1;2;21;17;21;13;0;0;42;30;2;0;false;false;false;false;false;false;false
161528;10;5;29;DE;1;50061163;;50114664;;2;2;20;22;14;21;0;0;34;43;0;2;false;false;false;false;false;false;false
161528;10;6;30;DE;2;50071220;;50095084;;2;3;16;21;22;20;19;21;57;62;1;2;false;false;false;false;false;false;false
161528;10;7;31;GD;1;50072760;50071220;50094491;50095084;2;2;11;21;14;21;0;0;25;42;0;2;false;false;false;false;false;false;false
161528;10;8;32;GD;2;50060750;50061163;50085755;50114664;2;3;22;20;20;22;10;21;52;63;1;2;false;false;false;false;false;false;false
161528;11;1;33;HD;0;50102229;50113172;50094491;50031637;2;2;12;21;16;21;0;0;28;42;0;2;false;false;false;false;false;false;false
161528;11;2;34;DD;0;50035926;50027219;50033380;50114664;2;2;9;21;10;21;0;0;19;42;0;2;false;false;false;false;false;false;false
161528;11;3;35;HE;1;50113172;;50085755;;2;2;17;21;19;21;0;0;36;42;0;2;false;false;false;false;false;false;false
161528;11;4;36;HE;2;50102229;;50089036;;2;2;11;21;13;21;0;0;24;42;0;2;false;false;false;false;false;false;false
161528;11;5;37;DE;1;50027219;;50114664;;2;2;8;21;14;21;0;0;22;42;0;2;false;false;false;false;false;false;false
161528;11;6;38;DE;2;50035926;;50033380;;2;2;3;21;11;21;0;0;14;42;0;2;false;false;false;false;false;false;false
161528;11;7;39;GD;1;50102229;50027219;50085755;50114664;2;2;17;21;14;21;0;0;31;42;0;2;false;false;false;false;false;false;false
161528;11;8;40;GD;2;50113172;50035926;50031637;50033380;2;2;13;21;16;21;0;0;29;42;0;2;false;false;false;false;false;false;false
161528;12;1;4313;HD;0;50094491;50031637;50076771;50069800;1;2;21;3;21;8;0;0;42;11;2;0;false;false;false;false;false;false;false
161528;12;2;4314;DD;0;50033380;50095084;50060086;50051219;1;3;21;23;21;8;21;11;63;42;2;1;false;false;false;false;false;false;false
161528;12;3;4315;HE;1;50085755;;50088919;;1;2;21;18;21;9;0;0;42;27;2;0;false;false;false;false;false;false;false
161528;12;4;4316;HE;2;50089036;;50069800;;1;2;21;10;21;9;0;0;42;19;2;0;false;false;false;false;false;false;false
161528;12;5;4317;DE;1;50114664;;50067241;;1;2;21;12;21;13;0;0;42;25;2;0;false;false;false;false;false;false;false
