tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
204506;8;1;1;HD;0;50057877;50076212;50069310;50070414;1;3;11;21;22;20;21;15;54;56;2;1;false;false;false;false;false;false;false
204506;8;2;2;DD;0;50079912;50066162;50092008;50089298;2;2;12;21;12;21;0;0;24;42;0;2;false;false;false;false;false;false;false
204506;8;3;3;HE;1;50093263;;50078488;;2;2;14;21;8;21;0;0;22;42;0;2;false;false;false;false;false;false;false
204506;8;4;4;HE;2;50076212;;50070414;;2;3;8;21;21;18;18;21;47;60;1;2;false;false;false;false;false;false;false
204506;8;5;5;DE;1;50079912;;50092008;;2;2;19;21;16;21;0;0;35;42;0;2;false;false;false;false;false;false;false
204506;8;6;6;DE;2;50066162;;50065873;;1;2;21;7;21;8;0;0;42;15;2;0;false;false;false;false;false;false;false
204506;8;7;7;GD;1;50076212;50066162;50069310;50089298;1;2;21;9;21;19;0;0;42;28;2;0;false;false;false;false;false;false;false
204506;8;8;8;GD;2;50057877;50079912;50078488;50065873;2;2;16;21;17;21;0;0;33;42;0;2;false;false;false;false;false;false;false
204506;11;1;9;HD;0;50076212;50057877;50080162;50064508;1;3;21;14;17;21;21;18;59;53;2;1;false;false;false;false;false;false;false
204506;11;2;10;DD;0;50066162;30033391;50071085;50085184;2;3;13;21;21;19;12;21;46;61;1;2;false;false;false;false;false;false;false
204506;11;3;11;HE;1;50076212;;50080162;;1;2;21;12;21;14;0;0;42;26;2;0;false;false;false;false;false;false;false
204506;11;4;12;HE;2;50057877;;50064508;;2;2;16;21;13;21;0;0;29;42;0;2;false;false;false;false;false;false;false
204506;11;5;13;DE;1;50079912;;50071085;;2;3;21;17;11;21;19;21;51;59;1;2;false;false;false;false;false;false;false
204506;11;6;14;DE;2;50066162;;50085184;;1;2;21;9;21;15;0;0;42;24;2;0;false;false;false;false;false;false;false
204506;11;7;15;GD;1;50076212;50066162;50070492;50062153;1;2;21;9;21;16;0;0;42;25;2;0;false;false;false;false;false;false;false
204506;11;8;16;GD;2;50057877;30033391;50064508;50085184;1;3;21;14;19;21;21;17;61;52;2;1;false;false;false;false;false;false;false
204506;12;1;17;HD;0;50078488;50069310;50080162;50070492;1;2;21;15;21;15;0;0;42;30;2;0;false;false;false;false;false;false;false
204506;12;2;18;DD;0;50092008;50089298;50071085;50085184;2;3;21;17;15;21;19;21;55;59;1;2;false;false;false;false;false;false;false
204506;12;3;19;HE;1;50078488;;50080162;;1;2;21;8;21;6;0;0;42;14;2;0;false;false;false;false;false;false;false
204506;12;4;20;HE;2;50070414;;50064508;;2;2;14;21;18;21;0;0;32;42;0;2;false;false;false;false;false;false;false
204506;12;5;21;DE;1;50092008;;50071085;;1;2;21;12;22;20;0;0;43;32;2;0;false;false;false;false;false;false;false
204506;12;6;22;DE;2;50065873;;50085184;;2;2;11;21;6;21;0;0;17;42;0;2;false;false;false;false;false;false;false
204506;12;7;23;GD;1;50069310;50089298;50070492;50062153;1;2;21;10;21;8;0;0;42;18;2;0;false;false;false;false;false;false;false
204506;12;8;24;GD;2;50078488;50065873;50064508;50085184;1;3;8;21;21;17;21;11;50;49;2;1;false;false;false;false;false;false;false
204506;14;1;25;HD;0;50076212;50057877;50072104;50094252;1;2;21;14;21;11;0;0;42;25;2;0;false;false;false;false;false;false;false
204506;14;2;26;DD;0;50066162;30033391;50081509;50098548;2;2;22;24;17;21;0;0;39;45;0;2;false;false;false;false;false;false;false
204506;14;3;27;HE;1;50076212;;50094252;;1;2;21;16;21;16;0;0;42;32;2;0;false;false;false;false;false;false;false
204506;14;4;28;HE;2;50057877;;50072104;;1;2;21;19;21;9;0;0;42;28;2;0;false;false;false;false;false;false;false
204506;14;5;29;DE;1;50079912;;50081509;;2;2;16;21;16;21;0;0;32;42;0;2;false;false;false;false;false;false;false
204506;14;6;30;DE;2;50066162;;50098548;;2;3;16;21;21;15;16;21;53;57;1;2;false;false;false;false;false;false;false
204506;14;7;31;GD;1;50076212;50066162;50094252;50098548;1;2;21;13;21;14;0;0;42;27;2;0;false;false;false;false;false;false;false
204506;14;8;32;GD;2;50057877;50079912;50020945;50081509;1;3;21;15;16;21;21;15;58;51;2;1;false;false;false;false;false;false;false
204506;15;1;33;HD;0;50078488;50069310;50020945;50072104;1;2;21;13;21;18;0;0;42;31;2;0;false;false;false;false;false;false;false
204506;15;2;34;DD;0;50065873;30081368;50098548;50081509;2;2;16;21;13;21;0;0;29;42;0;2;false;false;false;false;false;false;false
204506;15;3;35;HE;1;50078488;;50072104;;1;2;21;17;21;17;0;0;42;34;2;0;false;false;false;false;false;false;false
204506;15;4;36;HE;2;50070414;;50074397;;1;2;21;8;21;14;0;0;42;22;2;0;false;false;false;false;false;false;false
204506;15;5;37;DE;1;50089298;;50081509;;2;2;9;21;14;21;0;0;23;42;0;2;false;false;false;false;false;false;false
204506;15;6;38;DE;2;30081368;;50098548;;2;3;22;20;18;21;20;22;60;63;1;2;false;false;false;false;false;false;false
204506;15;7;39;GD;1;50069310;50089298;50020945;50081509;1;2;21;17;21;15;0;0;42;32;2;0;false;false;false;false;false;false;false
204506;15;8;40;GD;2;50078488;50065873;50072104;50098548;1;2;21;12;21;15;0;0;42;27;2;0;false;false;false;false;false;false;false
204506;16;1;41;HD;0;50080162;50070492;50020945;50072104;2;3;19;21;23;21;16;21;58;63;1;2;false;false;false;false;false;false;false
204506;16;2;42;DD;0;50071085;50085184;50081509;50098548;2;3;21;13;19;21;16;21;56;55;1;2;false;false;false;false;false;false;false
204506;16;3;43;HE;1;50064508;;50072104;;1;2;21;14;21;10;0;0;42;24;2;0;false;false;false;false;false;false;false
204506;16;4;44;HE;2;50090875;;50074397;;1;2;21;14;21;14;0;0;42;28;2;0;false;false;false;false;false;false;false
204506;16;5;45;DE;1;50071085;;50081509;;1;2;22;20;21;18;0;0;43;38;2;0;false;false;false;false;false;false;false
204506;16;6;46;DE;2;50085184;;50098548;;1;3;21;18;18;21;21;17;60;56;2;1;false;false;false;false;false;false;false
204506;16;7;47;GD;1;50070492;50085184;50020945;50081509;1;3;21;13;13;21;21;18;55;52;2;1;false;false;false;false;false;false;false
204506;16;8;48;GD;2;50064508;50085519;50072104;50098548;1;2;21;5;21;10;0;0;42;15;2;0;false;false;false;false;false;false;false
204506;65;1;129;HD;0;50076212;50057877;50056875;50082610;1;3;21;16;17;21;21;19;59;56;2;1;false;false;false;false;false;false;false
204506;65;2;130;DD;0;50066162;30033391;50075943;50055238;2;3;16;21;23;21;17;21;56;63;1;2;false;false;false;false;false;false;false
204506;65;3;131;HE;1;30085266;;50082610;;2;2;15;21;13;21;0;0;28;42;0;2;false;false;false;false;false;false;false
204506;65;4;132;HE;2;50057877;;50084667;;1;3;16;21;21;11;22;20;59;52;2;1;false;false;false;false;false;false;false
204506;65;5;133;DE;1;50066162;;50075943;;2;2;12;21;19;21;0;0;31;42;0;2;false;false;false;false;false;false;false
204506;65;6;134;DE;2;50079912;;50068658;;1;2;21;12;21;17;0;0;42;29;2;0;false;false;false;false;false;false;false
204506;65;7;135;GD;1;50076212;50066162;50056875;50055238;1;2;29;27;21;15;0;0;50;42;2;0;false;false;false;false;false;false;false
204506;65;8;136;GD;2;30085266;50079912;50109206;50068658;1;2;21;15;22;20;0;0;43;35;2;0;false;false;false;false;false;false;false
204506;66;1;137;HD;0;50078488;50069310;50109206;50056875;1;2;21;13;21;15;0;0;42;28;2;0;false;false;false;false;false;false;false
204506;66;2;138;DD;0;50065873;50089298;50075943;50055238;1;3;26;24;16;21;21;15;63;60;2;1;false;false;false;false;false;false;false
204506;66;3;139;HE;1;50078488;;50082610;;1;2;21;15;21;15;0;0;42;30;2;0;false;false;false;false;false;false;false
204506;66;4;140;HE;2;50070414;;50084667;;1;2;21;15;21;15;0;0;42;30;2;0;false;false;false;false;false;false;false
204506;66;5;141;DE;1;50065873;;50075943;;2;2;14;21;14;21;0;0;28;42;0;2;false;false;false;false;false;false;false
204506;66;6;142;DE;2;50070415;;50068658;;2;2;13;21;19;21;0;0;32;42;0;2;false;false;false;false;false;false;false
204506;66;7;143;GD;1;50069310;50089298;50056875;50055238;1;2;21;10;21;12;0;0;42;22;2;0;false;false;false;false;false;false;false
204506;66;8;144;GD;2;50078488;50065873;50109206;50068658;2;3;21;9;21;23;17;21;59;53;1;2;false;false;false;false;false;false;false
204506;67;1;145;HD;0;50080162;50070492;50056875;50082610;1;2;21;19;21;18;0;0;42;37;2;0;false;false;false;false;false;false;false
204506;67;2;146;DD;0;50071085;50085519;50075943;50055238;2;3;17;21;21;18;19;21;57;60;1;2;false;false;false;false;false;false;false
204506;67;3;147;HE;1;50064508;;50082610;;1;2;21;5;21;12;0;0;42;17;2;0;false;false;false;false;false;false;false
204506;67;4;148;HE;2;50090875;;50084667;;2;2;13;21;21;23;0;0;34;44;0;2;false;false;false;false;false;false;false
204506;67;5;149;DE;1;50071085;;50075943;;2;3;19;21;21;14;18;21;58;56;1;2;false;false;false;false;false;false;false
204506;67;6;150;DE;2;50085519;;50068658;;1;2;23;21;23;21;0;0;46;42;2;0;false;false;false;false;false;false;false
204506;67;7;151;GD;1;50070492;50085519;50056875;50055238;2;2;20;22;18;21;0;0;38;43;0;2;false;false;false;false;false;false;false
204506;67;8;152;GD;2;50064508;50071085;50082610;50068658;1;2;24;22;21;13;0;0;45;35;2;0;false;false;false;false;false;false;false
204506;68;1;153;HD;0;50072104;50074397;50082610;50056875;2;2;13;21;20;22;0;0;33;43;0;2;false;false;false;false;false;false;false
204506;68;2;154;DD;0;50081509;50098548;50075943;50055238;1;2;21;19;21;15;0;0;42;34;2;0;false;false;false;false;false;false;false
204506;68;3;155;HE;1;50062105;;50082610;;2;3;21;12;18;21;10;21;49;54;1;2;false;false;false;false;false;false;false
204506;68;4;156;HE;2;50086245;;50084667;;1;2;21;9;21;12;0;0;42;21;2;0;false;false;false;false;false;false;false
204506;68;5;157;DE;1;50081509;;50075943;;1;3;15;21;21;7;21;18;57;46;2;1;false;false;false;false;false;false;false
204506;68;6;158;DE;2;50098548;;50068658;;1;2;21;18;21;7;0;0;42;25;2;0;false;false;false;false;false;false;false
204506;68;7;159;GD;1;50062105;50081509;50056875;50055238;1;2;25;23;21;15;0;0;46;38;2;0;false;false;false;false;false;false;false
204506;68;8;160;GD;2;50086245;50077763;50082610;50068658;2;3;18;21;21;17;17;21;56;59;1;2;false;false;false;false;false;false;false
