tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
161932;7;1;1;HD;0;50015127;50052571;50034046;50057100;2;3;21;18;19;21;19;21;59;60;1;2;false;false;false;false;false;false;false
161932;7;2;2;DD;0;50061073;50048170;50071691;50071698;2;2;21;23;17;21;0;0;38;44;0;2;false;false;false;false;false;false;false
161932;7;3;3;HE;1;50054026;;50061330;;1;2;21;11;21;7;0;0;42;18;2;0;false;false;false;false;false;false;false
161932;7;4;4;HE;2;50052571;;50034046;;2;2;12;21;16;21;0;0;28;42;0;2;false;false;false;false;false;false;false
161932;7;5;5;DE;1;50048170;;50039342;;2;2;12;21;14;21;0;0;26;42;0;2;false;false;false;false;false;false;false
161932;7;6;6;DE;2;50061073;;50071698;;1;2;21;15;21;7;0;0;42;22;2;0;false;false;false;false;false;false;false
161932;7;7;7;GD;1;50054026;50048170;50057100;50071691;1;2;21;12;21;16;0;0;42;28;2;0;false;false;false;false;false;false;false
161932;7;8;8;GD;2;50015127;50061073;50061330;50071698;1;3;21;17;20;22;22;20;63;59;2;1;false;false;false;false;false;false;false
161932;8;1;9;HD;0;50082762;50028755;50057100;50061330;1;3;16;21;21;18;21;17;58;56;2;1;false;false;false;false;false;false;false
161932;8;2;10;DD;0;50045636;50059954;50071691;50071698;1;2;21;13;21;18;0;0;42;31;2;0;false;false;false;false;false;false;false
161932;8;3;11;HE;1;50082762;;50034046;;2;2;9;21;17;21;0;0;26;42;0;2;false;false;false;false;false;false;false
161932;8;4;12;HE;2;50076984;;50061330;;1;2;21;16;21;12;0;0;42;28;2;0;false;false;false;false;false;false;false
161932;8;5;13;DE;1;50059954;;50039342;;1;2;21;12;22;20;0;0;43;32;2;0;false;false;false;false;false;false;false
161932;8;6;14;DE;2;50066721;;50071698;;1;2;21;8;21;12;0;0;42;20;2;0;false;false;false;false;false;false;false
161932;8;7;15;GD;1;50076984;50045636;50057100;50071691;1;3;21;15;17;21;21;19;59;55;2;1;false;false;false;false;false;false;false
161932;8;8;16;GD;2;50066721;50028755;50039342;50034046;1;2;21;19;21;15;0;0;42;34;2;0;false;false;false;false;false;false;false
161932;9;1;17;HD;0;50069710;50069103;50034046;50057100;2;3;18;21;21;15;16;21;55;57;1;2;false;false;false;false;false;false;false
161932;9;2;18;DD;0;50066069;50063455;50071691;50071698;2;2;11;21;16;21;0;0;27;42;0;2;false;false;false;false;false;false;false
