tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
188480;1212;1;Gemengd;3;;3e Liga;31;;A;;Gitse 1G;;IZBA 1G;3;1-9-2017 20:15:00;1-9-2017 20:15:00;;;1;1;0;0;9;10;345;341;False;;;3-9-2017 19:14:31;Jonas Maes Gitse;17-12-2017 17:58:31;club IZBA;false;false;false;false;false;false;false
188480;1216;1;Gemengd;3;;3e Liga;31;;A;;DZ99 3G;;LEBAD Kortrijk 2G;1;2-9-2017 19:00:00;2-9-2017 19:00:00;;;2;0;1;0;11;9;380;362;False;;;3-9-2017 09:44:50;DZ 99;4-11-2017 20:36:49;Lebad Kortrijk;false;false;false;false;false;false;false
188480;47;1;Gemengd;2;;2e Liga;2;;B;;W&L 3G;;De Nekker 1G;1;3-9-2017 13:15:00;3-9-2017 13:15:00;;Sporthal Ivo Van Damme;2;0;1;0;15;5;421;354;False;;;3-9-2017 17:23:45;Kristel Van Roey;4-9-2017 22:25:40;De Nekker BC Competitie;false;false;false;false;false;false;false
188480;1171;1;Gemengd;3;;3e Liga;30;;B;;Herne 2G;;Eikenlo 1G;3;3-9-2017 18:00:00;3-9-2017 20:00:00;D9AEDFE3-8991-403F-9DD4-E218CB940D2B;Sporthal De Hernekouter;1;1;0;0;10;10;356;346;False;;;3-9-2017 23:16:08;BC HERNE;4-9-2017 16:16:14;BC EIKENLO;false;false;false;false;false;false;false
188480;102;1;Gemengd;1;;1e Liga;3;;A;;Pluimplukkers 3G;;Royal Antwerp 1G;3;3-9-2017 19:00:00;3-9-2017 19:00:00;682331B8-8B78-4F4F-B4FA-1CBDADC02D83;Rozebroeken;1;1;0;0;9;10;350;355;False;;;3-9-2017 19:22:38;Pluimplukkers BC;4-9-2017 11:15:09;Royal Antwerp Club;false;false;false;false;false;false;false
188480;60;1;Gemengd;2;;2e Liga;2;;B;;Dijlevallei 4G;;Dijlevallei 5G;1;4-9-2017 19:00:00;10-9-2017 14:15:00;;;2;0;1;0;12;9;391;384;False;5-9-2017 00:01:48;De Dijlevallei BC;5-9-2017 00:08:54;De Dijlevallei BC;5-9-2017 09:44:47;De Dijlevallei BC;false;false;false;false;false;false;false
188480;914;1;Gemengd;3;;3e Liga;22;;D;;Beerke 1G;;Fz Forza Webacsa 1G;2;7-9-2017 20:15:00;7-9-2017 20:15:00;;;0;2;0;1;5;13;240;367;False;;;8-9-2017 20:52:46;BC 't Beerke Algemeen;17-10-2017 08:49:33;Mercedes Van Den Eynde;false;false;false;false;false;false;false
188480;96;1;Gemengd;1;;1e Liga;3;;A;;Hebad 2G;;Pluimplukkers 3G;1;10-9-2017 14:00:00;10-9-2017 14:00:00;;;2;0;1;0;15;4;402;323;False;;;10-9-2017 13:54:52;Ronny Put;27-9-2017 11:37:25;Pluimplukkers BC;false;false;false;false;false;false;false
188480;64;1;Gemengd;2;;2e Liga;2;;B;;Dibad 1G;;Royal Antwerp 2G;1;10-9-2017 14:00:00;10-9-2017 14:00:00;;;2;0;1;0;11;8;352;356;False;;;10-9-2017 21:13:32;Bart Hanoulle;11-9-2017 13:30:36;Royal Antwerp Club;false;false;false;false;false;false;false
188480;910;1;Gemengd;3;;3e Liga;22;;D;;Brasschaat 2G;;De Bokkerijder 2G;1;10-9-2017 19:00:00;10-9-2017 19:00:00;;;2;0;1;0;13;5;331;316;False;;;11-9-2017 19:59:39;Badminton Brasschaat;;;false;false;false;false;false;false;false
188480;1180;1;Gemengd;3;;3e Liga;30;;B;;Drop Merchtem 1G;;Lokerse 3G;3;10-9-2017 19:30:00;3-9-2017 19:30:00;;;1;1;0;0;11;8;373;322;False;;;11-9-2017 20:08:19;DROP MERCHTEM BC;12-9-2017 09:19:15;Lokerse BC;false;false;false;false;false;false;false
188480;898;1;Gemengd;3;;3e Liga;22;;D;;Bacss 1G;;Beerke 1G;3;12-9-2017 20:15:00;12-9-2017 20:15:00;;;1;1;0;0;10;9;356;277;False;13-9-2017 11:01:18;Competitie BACSS BC;13-9-2017 11:08:36;Competitie BACSS BC;17-10-2017 08:51:10;Mercedes Van Den Eynde;false;false;false;false;false;false;false
188480;26;1;Gemengd;2;;2e Liga;1;;A;;Tielt 1G;;Herne 1G;1;17-9-2017 09:15:00;17-9-2017 09:15:00;;;2;0;1;0;10;7;307;277;False;;;17-9-2017 17:29:40;BC Tielt;19-9-2017 21:35:19;BC HERNE;false;false;false;false;false;false;false
188480;912;1;Gemengd;3;;3e Liga;22;;D;;Opbad 1G;;De Bokkerijder 2G;1;17-9-2017 13:30:00;17-9-2017 13:30:00;;;2;0;1;0;14;3;352;263;False;;;17-9-2017 21:27:48;OPBAD BC;;;false;false;false;false;false;false;false
188480;65;1;Gemengd;2;;2e Liga;2;;B;;Dijlevallei 4G;;Royal Antwerp 2G;1;17-9-2017 14:15:00;12-11-2017 14:15:00;E3F5CA72-08BA-45B0-BF0F-BA3248FA80C5;Sportcentrum Kessel-Lo;2;0;1;0;14;3;347;259;False;18-9-2017 00:50:39;De Dijlevallei BC;18-9-2017 00:55:11;De Dijlevallei BC;23-9-2017 08:37:52;Royal Antwerp Club;false;false;false;false;false;false;false
188480;1178;1;Gemengd;3;;3e Liga;30;;B;;Oudegem 1G;;Herne 2G;2;17-9-2017 20:00:00;17-9-2017 20:00:00;;;0;2;0;1;2;15;256;345;False;;;18-9-2017 00:35:07;Gert Piqueur;19-9-2017 08:28:10;BC HERNE;false;false;false;false;false;false;false
188480;1172;1;Gemengd;3;;3e Liga;30;;B;;Lokerse 3G;;Eikenlo 1G;3;17-9-2017 20:00:00;17-9-2017 20:00:00;;;1;1;0;0;9;10;369;336;False;;;18-9-2017 00:45:24;Lokerse BC;18-9-2017 17:30:57;BC EIKENLO;false;false;false;false;false;false;false
188480;58;1;Gemengd;2;;2e Liga;2;;B;;De Nekker 1G;;Dijlevallei 5G;2;18-9-2017 20:00:00;18-9-2017 20:00:00;;Sporthal Klein Boom;0;2;0;1;7;12;315;349;False;;;19-9-2017 19:53:16;De Nekker BC Competitie;19-9-2017 21:00:28;De Dijlevallei BC;false;false;false;false;false;false;false
188480;20;1;Gemengd;2;;2e Liga;1;;A;;Latem-De Pinte 1G;;DZ99 2G;1;18-9-2017 20:15:00;18-9-2017 20:15:00;692119B1-AD91-4DB4-AA1F-6F871D8B5614;Sporthal Latem;2;0;1;0;13;7;394;348;False;;;19-9-2017 08:44:16;Latem De Pinte BC LATEM;19-9-2017 18:50:50;DZ 99;false;false;false;false;false;false;false
188480;919;1;Gemengd;3;;3e Liga;22;;D;;Beerke 1G;;Opbad 1G;1;21-9-2017 20:15:00;21-9-2017 20:15:00;;;2;0;1;0;12;7;349;338;False;;;22-9-2017 19:47:00;BC 't Beerke Algemeen;3-12-2017 17:37:44;OPBAD BC;false;false;false;false;false;false;false
188480;1160;1;Gemengd;3;;3e Liga;30;;B;;Eikenlo 1G;;Buggenhout 2G;3;22-9-2017 20:15:00;22-9-2017 20:15:00;;;1;1;0;0;9;10;345;331;False;23-9-2017 12:03:30;BC EIKENLO;23-9-2017 12:11:40;BC EIKENLO;25-9-2017 08:36:08;Badminton Buggenhout;false;false;false;false;false;false;false
188480;916;1;Gemengd;3;;3e Liga;22;;D;;De Bokkerijder 2G;;Fz Forza Webacsa 1G;2;22-9-2017 20:45:00;22-9-2017 20:45:00;;;0;2;0;1;6;11;290;320;False;;;25-9-2017 19:38:39;BC DE BOKKERIJDER;26-9-2017 17:42:07;Mercedes Van Den Eynde;false;false;false;false;false;false;false
